PropertiesSK,PropertyReference,PostCode,PropertyType,PropertySubType,PatchCode,PatchName,AppointmentPatchCode,AppointmentPatchName,AppointmentRegionName,UPRN
5037,T000037,B24,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10019289546
5038,T000038,B76,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10098550256
5039,T000039,B74,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10045575298
5040,T000040,B75,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10038427073
5041,T000041,B76,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10051837852
5042,T000042,B44,LCHO,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10068800797
5043,T000043,B75,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10040158366
5044,T000044,B24,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10088979095
5045,T000045,B35,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10040728046
5046,T000046,B24,LCHO,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10019510312
5047,T000047,B75,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10038754377
5048,T000048,B76,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10042614537
5049,T000049,B74,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10022660194
5050,T000050,B25,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10066851760
5051,T000051,B72,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10097705310
5052,T000052,B25,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10024665841
5053,T000053,B35,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10028814949
5054,T000054,B72,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10043528453
5055,T000055,B24,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10016789850
5056,T000056,B76,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10041726318
5057,T000057,B33,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10038688676
5058,T000058,B44,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10060864911
5059,T000059,B8,LCHO,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10071070189
5060,T000060,B37,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10030776478
5061,T000061,B34,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10087736262
5062,T000062,B76,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10017672593
5063,T000063,B23,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10017634247
5064,T000064,B75,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10019196777
5065,T000065,B92,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10064193837
5066,T000066,B25,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10087701200
5067,T000067,B92,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10066267415
5068,T000068,B91,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10044999379
5069,T000069,B34,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10042035886
5070,T000070,B36,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10071367643
5071,T000071,B42,LCHO,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10011250299
5072,T000072,B73,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10019832887
5073,T000073,B76,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10027778019
5074,T000074,B43,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10059597086
5075,T000075,B37,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10092097999
5076,T000076,B75,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10099038526
5077,T000077,B25,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10045496015
5078,T000078,B25,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10046553958
5079,T000079,B37,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10037326368
5080,T000080,B36,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10016818112
5081,T000081,B24,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10015917225
5082,T000082,B8,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10095511909
5083,T000083,B36,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10084045292
5084,T000084,B72,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10020099059
5085,T000085,B26,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10088183110
5086,T000086,B76,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10015614174
5087,T000087,B37,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10058024342
5088,T000088,B34,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10057469942
5089,T000089,B76,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10093303777
5090,T000090,B26,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10031810617
5091,T000091,B33,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10034073380
5092,T000092,B42,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10099913412
5093,T000093,B35,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10061343880
5094,T000094,B23,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10036786211
5095,T000095,B73,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10039920292
5096,T000096,B8,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10054058573
5097,T000097,B36,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10057130035
5098,T000098,B75,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10013704481
5099,T000099,B25,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10033966966
5100,T000100,B91,LCHO,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10015134794
5101,T000101,B4,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10052101056
5102,T000102,B12,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10061700055
5103,T000103,B27,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10068526649
5104,T000104,B1,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10058884978
5105,T000105,B12,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10093638503
5106,T000106,B11,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10050308572
5107,T000107,B14,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10053779528
5108,T000108,B12,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10035748341
5109,T000109,B12,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10033357554
5110,T000110,B27,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10083542887
5111,T000111,B1,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10067698610
5112,T000112,B27,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10072409658
5113,T000113,B13,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10078608612
5114,T000114,B13,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10098429450
5115,T000115,B4,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10022534217
5116,T000116,B9,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10036726767
5117,T000117,B5,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10073771720
5118,T000118,B27,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10071124923
5119,T000119,B12,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10061536717
5120,T000120,B13,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10098054615
5121,T000121,B1,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10067062156
5122,T000122,B9,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10016740197
5123,T000123,B14,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10071265269
5124,T000124,B5,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10069401199
5125,T000125,B27,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10083534128
5126,T000126,B13,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10070407340
5127,T000127,B10,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10079967676
5128,T000128,B13,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10069038700
5129,T000129,B4,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10046468984
5130,T000130,B11,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10028572252
5131,T000131,B5,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10038716269
5132,T000132,B4,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10082828034
5133,T000133,B13,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10066390708
5134,T000134,B12,LCHO,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10087267850
5135,T000135,B12,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10050079111
5136,T000136,B12,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10082238741
5137,T000137,B14,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10075529051
5138,T000138,B9,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10013895645
5139,T000139,B12,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10032151928
5140,T000140,B13,LCHO,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10062884503
5141,T000141,B27,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10021267237
5142,T000142,B28,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10034391257
5143,T000143,B1,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10038408562
5144,T000144,B13,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10047346970
5145,T000145,B12,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10073123515
5146,T000146,B1,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10056970882
5147,T000147,B9,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10014164775
5148,T000148,B9,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10093394260
5149,T000149,B5,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10099853245
5150,T000150,B4,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10072415804
5151,T000151,B10,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10091321540
5152,T000152,B27,LCHO,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10031980274
5153,T000153,B10,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10051870192
5154,T000154,B27,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10063238057
5155,T000155,B9,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10023676961
5156,T000156,B10,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10085958181
5157,T000157,B1,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10098787891
5158,T000158,B11,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10011698142
5159,T000159,B12,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10068186525
5160,T000160,B11,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10030534124
5161,T000161,B12,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10092666356
5162,T000162,B14,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10068461818
5163,T000163,B27,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10021631697
5164,T000164,B10,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10072372114
5165,T000165,B27,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10055150390
5166,T000166,B1,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10034406132
5167,T000167,B13,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10055679506
5168,T000168,B10,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10084597009
5169,T000169,B1,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10021490777
5170,T000170,B9,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10084514489
5171,T000171,B9,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10070152969
5172,T000172,B1,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10064277800
5173,T000173,B9,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10073519947
5174,T000174,B14,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10083871890
5175,T000175,B11,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10046361787
5176,T000176,B10,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10035848226
5177,T000177,B11,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10035708194
5178,T000178,B9,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10089133014
5179,T000179,B14,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10036054020
5180,T000180,B10,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10050569669
5181,T000181,B1,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10046817443
5182,T000182,B1,LCHO,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10026948946
5183,T000183,B28,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10023769080
5184,T000184,B1,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10074251933
5185,T000185,B13,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10043887075
5186,T000186,B13,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10063782042
5187,T000187,B13,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10030364454
5188,T000188,B5,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10021432787
5189,T000189,B9,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10091378577
5190,T000190,B27,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10080138498
5191,T000191,B12,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10049910061
5192,T000192,B27,LCHO,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10086320155
5193,T000193,B27,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10037888820
5194,T000194,B28,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10031079846
5195,T000195,B9,LCRA,House,CSP2,Central South 2,CSP2,Central South 2,Central South,10031009452
5196,T000196,B1,LCRA,Maisonette,CSP2,Central South 2,CSP2,Central South 2,Central South,10049092160
5197,T000197,B1,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10070939053
5198,T000198,B4,LCRA,Bungalow,CSP2,Central South 2,CSP2,Central South 2,Central South,10093893865
5199,T000199,B27,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10067061186
5200,T000200,B4,LCRA,Flat,CSP2,Central South 2,CSP2,Central South 2,Central South,10045652586
5201,T000201,B29,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10051286958
5202,T000202,B45,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10050814428
5203,T000203,B50,LCHO,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10068755000
5204,T000204,B17,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10053261270
5205,T000205,B38,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10087201917
5206,T000206,B15,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10087342561
5207,T000207,B16,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10073149551
5208,T000208,B97,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10034359060
5209,T000209,B90,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10022246348
5210,T000210,B96,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10053091709
5211,T000211,B18,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10065250068
5212,T000212,B96,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10083832717
5213,T000213,B16,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10043876400
5214,T000214,B47,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10079067939
5215,T000215,B15,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10065465150
5216,T000216,B16,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10093568503
5217,T000217,B96,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10037321124
5218,T000218,B38,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10068802946
5219,T000219,B96,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10031257157
5220,T000220,B45,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10022510327
5221,T000221,B32,LCHO,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10071934487
5222,T000222,B18,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10076890827
5223,T000223,B45,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10065766169
5224,T000224,B96,LCHO,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10071308842
5225,T000225,B98,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10090447099
5226,T000226,B97,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10019369750
5227,T000227,B38,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10055617282
5228,T000228,B97,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10047962005
5229,T000229,B45,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10029944139
5230,T000230,B93,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10054619335
5231,T000231,B98,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10071115319
5232,T000232,B47,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10086745380
5233,T000233,B50,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10015858241
5234,T000234,B47,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10061818612
5235,T000235,B29,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10026944487
5236,T000236,B97,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10023470708
5237,T000237,B93,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10012059919
5238,T000238,B29,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10020043277
5239,T000239,B96,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10055440919
5240,T000240,B50,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10081621574
5241,T000241,B50,LCHO,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10082613940
5242,T000242,B16,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10094712997
5243,T000243,B45,LCHO,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10068246664
5244,T000244,B18,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10069549527
5245,T000245,B30,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10016172803
5246,T000246,B47,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10058112135
5247,T000247,B48,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10081291936
5248,T000248,B90,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10032814819
5249,T000249,B30,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10093176117
5250,T000250,B32,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10041163805
5251,T000251,B93,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10044269370
5252,T000252,B15,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10048605268
5253,T000253,B98,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10056381032
5254,T000254,B45,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10043567615
5255,T000255,B93,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10061632653
5256,T000256,B96,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10086762164
5257,T000257,B48,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10012944682
5258,T000258,B50,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10091390501
5259,T000259,B96,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10040885967
5260,T000260,B48,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10093334601
5261,T000261,B38,LCRA,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10094322033
5262,T000262,B18,LCHO,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10051464269
5263,T000263,B93,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10027637794
5264,T000264,B17,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10065767881
5265,T000265,B30,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10081249799
5266,T000266,B97,LCHO,Flat,CSP4,Central South 4,CSP4,Central South 4,Central South,10044489940
5267,T000267,B96,LCHO,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10055461591
5268,T000268,B18,LCRA,House,CSP4,Central South 4,CSP4,Central South 4,Central South,10028892086
5269,T000269,B32,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10084801233
5270,T000270,B48,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10011868130
5271,T000271,B38,LCRA,Maisonette,CSP4,Central South 4,CSP4,Central South 4,Central South,10059470729
5272,T000272,B38,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10024541967
5273,T000273,B32,LCRA,Bungalow,CSP4,Central South 4,CSP4,Central South 4,Central South,10091883846
