JobTicketReference,JobTicketLineReference,WorksOrderReference,AppointmentReference,PropertiesSK,EmployeesSK,PatchCode,JobSORCode,NoAccess,FollowOn,FollowOnDescription,FirstTimeFix,SecondTimeFix,AccessedVisitNumber,ActualStartDate,ActualEndDate,ActualDurationMins,JobInvoicedCost,VisitOutcome
JT11000018,JT11000018-1,WO700018,AP9000018,5051,1003,CSP1,PCPLUMB,N,N,,Y,Y,2,2026-03-23T08:15:00,2026-03-23T08:52:00,37,98.44,Completed
JT11000019,JT11000019-1,WO700019,AP9000019,5091,1004,CSP1,PCVINYL,N,Y,Previously done,N,N,1,2026-03-20T11:51:00,2026-03-20T13:27:00,96,152.41,Completed
JT11000020,JT11000020-1,WO700019,AP9000020,5091,1004,CSP1,PCVINYL,N,N,,Y,Y,2,2026-03-23T12:15:00,2026-03-23T13:05:00,50,152.41,Completed
JT11000021,JT11000021-1,WO700020,AP9000021,5089,1004,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-20T11:59:00,2026-03-20T13:22:00,83,300.05,Completed
JT11000022,JT11000022-1,WO700021,AP9000022,5040,1003,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-20T08:18:00,2026-03-20T09:22:00,64,278.37,Completed
JT11000023,JT11000023-1,WO700022,AP9000023,5100,1003,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-20T08:08:00,2026-03-20T09:02:00,54,246.04,Completed
JT11000024,JT11000024-1,WO700023,AP9000024,5126,1008,CSP2,PCPLAST,Y,N,,N,N,1,2026-03-20T08:06:00,2026-03-20T09:32:00,86,120.17,No Access
JT11000025,JT11000025-1,WO700023,AP9000025,5126,1008,CSP2,PCPLAST,N,N,,Y,Y,2,2026-03-23T07:59:00,2026-03-23T10:07:00,128,120.17,Completed
JT11000026,JT11000026-1,WO700024,AP9000026,5160,1009,CSP2,PCELEC,N,Y,Follow on weather conditions,N,N,1,2026-03-20T11:50:00,2026-03-20T12:50:00,60,105.39,Completed
JT11000027,JT11000027-1,WO700024,AP9000027,5160,1009,CSP2,PCELEC,N,N,,Y,Y,2,2026-03-23T08:18:00,2026-03-23T09:47:00,89,105.39,Completed
JT11000028,JT11000028-1,WO700025,AP9000028,5181,1007,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-20T08:10:00,2026-03-20T09:28:00,78,213.92,Completed
JT11000029,JT11000029-1,WO700026,AP9000029,5146,1006,CSP2,PCGROUND,Y,N,,N,N,1,2026-03-20T07:54:00,2026-03-20T08:39:00,45,229.38,No Access
JT11000030,JT11000030-1,WO700026,AP9000030,5146,1006,CSP2,PCGROUND,N,N,,Y,Y,2,2026-03-23T08:15:00,2026-03-23T08:53:00,38,229.38,Completed
JT11000031,JT11000031-1,WO700027,AP9000031,5112,1008,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-20T07:56:00,2026-03-20T09:33:00,97,451.76,Completed
JT11000032,JT11000032-1,WO700028,AP9000032,5142,1007,CSP2,PCELEC,N,N,,Y,N,1,2026-03-20T08:10:00,2026-03-20T09:25:00,75,320.69,Completed
JT11000033,JT11000033-1,WO700029,AP9000033,5192,1007,CSP2,PCCARP,N,N,,Y,N,1,2026-03-20T07:53:00,2026-03-20T09:03:00,70,84.07,Completed
JT11000034,JT11000034-1,WO700030,AP9000034,5179,1009,CSP2,PCPLAST,N,N,,Y,N,1,2026-03-20T12:08:00,2026-03-20T13:42:00,94,217.75,Completed
JT11000035,JT11000035-1,WO700031,AP9000035,5181,1009,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-20T08:05:00,2026-03-20T09:57:00,112,305.11,Completed
JT11000036,JT11000036-1,WO700032,AP9000036,5178,1009,CSP2,PCPLAST,N,Y,Warning risk / Warning vulnerable,N,N,1,2026-03-20T12:18:00,2026-03-20T13:24:00,66,92.25,Completed
JT11000037,JT11000037-1,WO700032,AP9000037,5178,1009,CSP2,PCPLAST,N,N,,Y,Y,2,2026-03-23T12:13:00,2026-03-23T14:02:00,109,92.25,Completed
JT11000038,JT11000038-1,WO700033,AP9000038,5185,1006,CSP2,PCVINYL,N,N,,Y,N,1,2026-03-20T08:01:00,2026-03-20T09:04:00,63,255.84,Completed
JT11000039,JT11000039-1,WO700034,AP9000039,5117,1007,CSP2,PCGROUND,Y,N,,N,N,1,2026-03-20T11:59:00,2026-03-20T13:30:00,91,231.72,No Access
JT11000040,JT11000040-1,WO700034,AP9000040,5117,1007,CSP2,PCGROUND,N,N,,Y,Y,2,2026-03-23T07:56:00,2026-03-23T10:12:00,136,231.72,Completed
JT11000041,JT11000041-1,WO700035,AP9000041,5128,1007,CSP2,PCFENCE,Y,N,,N,N,1,2026-03-20T08:07:00,2026-03-20T09:26:00,79,140.00,No Access
JT11000042,JT11000042-1,WO700035,AP9000042,5128,1007,CSP2,PCFENCE,N,N,,Y,Y,2,2026-03-23T07:56:00,2026-03-23T08:59:00,63,140.00,Completed
JT11000043,JT11000043-1,WO700036,AP9000043,5113,1007,CSP2,PCGROUND,Y,N,,N,N,1,2026-03-20T08:09:00,2026-03-20T09:53:00,104,212.85,No Access
JT11000044,JT11000044-1,WO700036,AP9000044,5113,1007,CSP2,PCGROUND,N,N,,Y,Y,2,2026-03-23T08:10:00,2026-03-23T10:02:00,112,212.85,Completed
JT11000045,JT11000045-1,WO700037,AP9000045,5117,1006,CSP2,PCVINYL,N,N,,Y,N,1,2026-03-20T08:02:00,2026-03-20T09:13:00,71,148.57,Completed
JT11000046,JT11000046-1,WO700038,AP9000046,5157,1009,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-20T12:05:00,2026-03-20T12:28:00,23,228.73,Completed
JT11000047,JT11000047-1,WO700039,AP9000047,5158,1009,CSP2,PCTILE,N,N,,Y,N,1,2026-03-20T11:50:00,2026-03-20T12:23:00,33,149.27,Completed
JT11000048,JT11000048-1,WO700040,AP9000048,5174,1006,CSP2,PCELEC,N,N,,Y,N,1,2026-03-20T08:04:00,2026-03-20T09:10:00,66,259.11,Completed
JT11000049,JT11000049-1,WO700041,AP9000049,5126,1007,CSP2,PCPLAST,N,N,,Y,N,1,2026-03-20T12:05:00,2026-03-20T13:01:00,56,167.45,Completed
JT11000050,JT11000050-1,WO700042,AP9000050,5167,1008,CSP2,PCCARP,N,Y,Re-directed work,N,N,1,2026-03-20T11:54:00,2026-03-20T13:13:00,79,96.08,Completed
JT11000051,JT11000051-1,WO700042,AP9000051,5167,1008,CSP2,PCCARP,N,N,,Y,Y,2,2026-03-23T08:17:00,2026-03-23T09:26:00,69,96.08,Completed
JT11000052,JT11000052-1,WO700043,AP9000052,5112,1006,CSP2,PCTILE,N,N,,Y,N,1,2026-03-20T08:16:00,2026-03-20T09:28:00,72,174.75,Completed
JT11000053,JT11000053-1,WO700044,AP9000053,5150,1009,CSP2,PCCARP,N,N,,Y,N,1,2026-03-20T12:18:00,2026-03-20T13:22:00,64,140.23,Completed
JT11000054,JT11000054-1,WO700045,AP9000054,5218,1011,CSP4,PCPLUMB,N,N,,Y,N,1,2026-03-20T08:17:00,2026-03-20T09:16:00,59,176.40,Completed
JT11000055,JT11000055-1,WO700046,AP9000055,5279,1014,CSP4,PCPLUMB,N,N,,Y,N,1,2026-03-20T08:10:00,2026-03-20T09:16:00,66,193.08,Completed
JT11000056,JT11000056-1,WO700047,AP9000056,5268,1012,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-20T12:15:00,2026-03-20T13:31:00,76,240.25,Completed
JT11000057,JT11000057-1,WO700048,AP9000057,5280,1012,CSP4,PCELEC,N,N,,Y,N,1,2026-03-20T08:10:00,2026-03-20T09:11:00,61,255.13,Completed
JT11000058,JT11000058-1,WO700049,AP9000058,5231,1011,CSP4,PCPLAST,Y,N,,N,N,1,2026-03-20T11:55:00,2026-03-20T13:02:00,67,118.66,No Access
JT11000059,JT11000059-1,WO700049,AP9000059,5231,1011,CSP4,PCPLAST,N,N,,Y,Y,2,2026-03-23T07:54:00,2026-03-23T08:40:00,46,118.66,Completed
JT11000060,JT11000060-1,WO700050,AP9000060,5211,1014,CSP4,PCGROUND,N,N,,Y,N,1,2026-03-20T08:20:00,2026-03-20T09:20:00,60,374.54,Completed
JT11000061,JT11000061-1,WO700052,AP9000061,5209,1014,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-20T12:11:00,2026-03-20T13:32:00,81,198.59,Completed
JT11000062,JT11000062-1,WO700053,AP9000062,5206,1012,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-20T08:18:00,2026-03-20T09:25:00,67,212.99,Completed
JT11000063,JT11000063-1,WO700054,AP9000063,5262,1013,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-20T08:20:00,2026-03-20T09:36:00,76,205.56,Completed
JT11000064,JT11000064-1,WO700055,AP9000064,5206,1012,CSP4,PCFENCE,N,Y,Planned referral required,N,N,1,2026-03-20T12:07:00,2026-03-20T13:54:00,107,141.15,Completed
JT11000065,JT11000065-1,WO700055,AP9000065,5206,1012,CSP4,PCFENCE,N,N,,Y,Y,2,2026-03-23T12:03:00,2026-03-23T13:46:00,103,141.15,Completed
JT11000066,JT11000066-1,WO700056,AP9000066,5237,1014,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-20T07:55:00,2026-03-20T09:37:00,102,302.62,Completed
JT11000067,JT11000067-1,WO700057,AP9000067,5252,1013,CSP4,PCELEC,Y,N,,N,N,1,2026-03-20T08:20:00,2026-03-20T09:57:00,97,130.66,No Access
JT11000068,JT11000068-1,WO700057,AP9000068,5252,1013,CSP4,PCELEC,N,N,,Y,Y,2,2026-03-23T12:08:00,2026-03-23T13:25:00,77,130.66,Completed
JT11000069,JT11000069-1,WO700058,AP9000069,5267,1014,CSP4,PCBRICK,Y,N,,N,N,1,2026-03-20T08:12:00,2026-03-20T09:24:00,72,199.66,No Access
JT11000070,JT11000070-1,WO700058,AP9000070,5267,1014,CSP4,PCBRICK,N,N,,Y,Y,2,2026-03-23T12:09:00,2026-03-23T13:08:00,59,199.66,Completed
JT11000071,JT11000071-1,WO700059,AP9000071,5238,1014,CSP4,PCFENCE,Y,N,,N,N,1,2026-03-20T07:55:00,2026-03-20T08:45:00,50,172.10,No Access
JT11000072,JT11000072-1,WO700059,AP9000072,5238,1014,CSP4,PCFENCE,N,N,,Y,Y,2,2026-03-23T07:51:00,2026-03-23T08:54:00,63,172.10,Completed
JT11000073,JT11000073-1,WO700060,AP9000073,5289,1014,CSP4,PCELEC,N,N,,Y,N,1,2026-03-20T08:19:00,2026-03-20T09:21:00,62,226.97,Completed
JT11000074,JT11000074-1,WO700061,AP9000074,5208,1013,CSP4,PCCARP,N,N,,Y,N,1,2026-03-20T08:08:00,2026-03-20T09:23:00,75,133.63,Completed
JT11000075,JT11000075-1,WO700062,AP9000075,5219,1012,CSP4,PCELEC,N,Y,Asbestos found,N,N,1,2026-03-20T07:54:00,2026-03-20T09:24:00,90,147.12,Completed
JT11000076,JT11000076-1,WO700062,AP9000076,5219,1012,CSP4,PCELEC,N,N,,Y,Y,2,2026-03-23T07:54:00,2026-03-23T08:30:00,36,147.12,Completed
JT11000077,JT11000077-1,WO700063,AP9000077,5278,1014,CSP4,PCPLAST,Y,N,,N,N,1,2026-03-20T08:15:00,2026-03-20T09:28:00,73,102.48,No Access
JT11000078,JT11000078-1,WO700063,AP9000078,5278,1014,CSP4,PCPLAST,N,N,,Y,Y,2,2026-03-23T07:55:00,2026-03-23T09:01:00,66,102.48,Completed
JT11000079,JT11000079-1,WO700064,AP9000079,5247,1011,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-20T12:14:00,2026-03-20T12:56:00,42,224.12,Completed
JT11000080,JT11000080-1,WO700065,AP9000080,5272,1014,CSP4,PCCARP,N,Y,Specialist equipment required,N,N,1,2026-03-20T08:06:00,2026-03-20T09:09:00,63,111.74,Completed
JT11000081,JT11000081-1,WO700065,AP9000081,5272,1014,CSP4,PCCARP,N,N,,Y,Y,2,2026-03-23T08:04:00,2026-03-23T09:08:00,64,111.74,Completed
JT11000082,JT11000082-1,WO700066,AP9000082,5263,1013,CSP4,PCTILE,N,N,,Y,N,1,2026-03-20T08:06:00,2026-03-20T09:34:00,88,200.26,Completed
JT11000083,JT11000083-1,WO700067,AP9000083,5088,1002,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-23T08:07:00,2026-03-23T09:15:00,68,252.19,Completed
JT11000084,JT11000084-1,WO700068,AP9000084,5092,1001,CSP1,PCPLAST,Y,N,,N,N,1,2026-03-23T07:50:00,2026-03-23T09:10:00,80,97.03,No Access
JT11000085,JT11000085-1,WO700068,AP9000085,5092,1001,CSP1,PCPLAST,N,N,,Y,Y,2,2026-03-25T11:59:00,2026-03-25T13:16:00,77,97.03,Completed
JT11000086,JT11000086-1,WO700069,AP9000086,5064,1003,CSP1,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:04:00,2026-03-23T09:43:00,99,188.36,Completed
JT11000087,JT11000087-1,WO700070,AP9000087,5012,1002,CSP1,PCCARP,N,N,,Y,N,1,2026-03-23T08:17:00,2026-03-23T09:24:00,67,171.08,Completed
JT11000088,JT11000088-1,WO700071,AP9000088,5010,1001,CSP1,PCPLAST,Y,N,,N,N,1,2026-03-23T08:10:00,2026-03-23T08:32:00,22,104.63,No Access
JT11000089,JT11000089-1,WO700071,AP9000089,5010,1001,CSP1,PCPLAST,N,N,,Y,Y,2,2026-03-25T07:55:00,2026-03-25T09:17:00,82,104.63,Completed
JT11000090,JT11000090-1,WO700073,AP9000090,5016,1003,CSP1,PCGROUND,N,N,,Y,N,1,2026-03-23T07:50:00,2026-03-23T08:25:00,35,388.97,Completed
JT11000091,JT11000091-1,WO700074,AP9000091,5067,1002,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-23T11:58:00,2026-03-23T12:49:00,51,307.50,Completed
JT11000092,JT11000092-1,WO700075,AP9000092,5079,1002,CSP1,PCGROUND,N,N,,Y,N,1,2026-03-23T08:08:00,2026-03-23T08:49:00,41,394.68,Completed
JT11000093,JT11000093-1,WO700076,AP9000093,5093,1004,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-23T07:56:00,2026-03-23T08:59:00,63,339.97,Completed
JT11000094,JT11000094-1,WO700077,AP9000094,5034,1001,CSP1,PCTILE,N,N,,Y,N,1,2026-03-23T08:02:00,2026-03-23T08:49:00,47,171.42,Completed
JT11000095,JT11000095-1,WO700078,AP9000095,5083,1002,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-23T07:54:00,2026-03-23T09:19:00,85,355.23,Completed
JT11000096,JT11000096-1,WO700079,AP9000096,5021,1004,CSP1,PCELEC,Y,N,,N,N,1,2026-03-23T12:04:00,2026-03-23T13:28:00,84,117.42,No Access
JT11000097,JT11000097-1,WO700079,AP9000097,5021,1004,CSP1,PCELEC,N,N,,Y,Y,2,2026-03-25T07:54:00,2026-03-25T09:41:00,107,117.42,Completed
JT11000098,JT11000098-1,WO700080,AP9000098,5094,1001,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-23T07:53:00,2026-03-23T09:19:00,86,277.76,Completed
JT11000099,JT11000099-1,WO700081,AP9000099,5016,1001,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-23T08:19:00,2026-03-23T09:39:00,80,374.91,Completed
JT11000100,JT11000100-1,WO700082,AP9000100,5032,1004,CSP1,PCPLAST,N,N,,Y,N,1,2026-03-23T08:13:00,2026-03-23T09:39:00,86,219.71,Completed
JT11000101,JT11000101-1,WO700083,AP9000101,5060,1004,CSP1,PCELEC,N,N,,Y,N,1,2026-03-23T07:56:00,2026-03-23T09:47:00,111,241.26,Completed
JT11000102,JT11000102-1,WO700084,AP9000102,5028,1003,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-23T07:56:00,2026-03-23T08:52:00,56,230.51,Completed
JT11000103,JT11000103-1,WO700085,AP9000103,5069,1003,CSP1,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:07:00,2026-03-23T09:37:00,90,167.33,Completed
JT11000104,JT11000104-1,WO700086,AP9000104,5052,1003,CSP1,PCPLUMB,N,N,,Y,N,1,2026-03-23T07:53:00,2026-03-23T09:09:00,76,281.44,Completed
JT11000105,JT11000105-1,WO700087,AP9000105,5071,1003,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-23T07:53:00,2026-03-23T09:12:00,79,426.29,Completed
JT11000106,JT11000106-1,WO700089,AP9000106,5105,1009,CSP2,PCPLAST,N,N,,Y,N,1,2026-03-23T08:06:00,2026-03-23T09:23:00,77,213.12,Completed
JT11000107,JT11000107-1,WO700090,AP9000107,5142,1008,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-23T08:08:00,2026-03-23T08:46:00,38,246.69,Completed
JT11000108,JT11000108-1,WO700091,AP9000108,5163,1008,CSP2,PCBRICK,N,N,,Y,N,1,2026-03-23T11:54:00,2026-03-23T12:14:00,20,177.09,Completed
JT11000109,JT11000109-1,WO700092,AP9000109,5193,1007,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:17:00,2026-03-23T08:48:00,31,166.85,Completed
JT11000110,JT11000110-1,WO700093,AP9000110,5193,1006,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:13:00,2026-03-23T10:16:00,123,166.65,Completed
JT11000111,JT11000111-1,WO700094,AP9000111,5188,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-23T08:11:00,2026-03-23T09:05:00,54,188.94,Completed
JT11000112,JT11000112-1,WO700096,AP9000112,5118,1009,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-23T08:14:00,2026-03-23T09:19:00,65,419.72,Completed
JT11000113,JT11000113-1,WO700097,AP9000113,5159,1009,CSP2,PCGROUND,N,N,,Y,N,1,2026-03-23T07:54:00,2026-03-23T09:04:00,70,321.09,Completed
JT11000114,JT11000114-1,WO700098,AP9000114,5125,1008,CSP2,PCTILE,N,N,,Y,N,1,2026-03-23T08:01:00,2026-03-23T09:41:00,100,115.40,Completed
JT11000115,JT11000115-1,WO700099,AP9000115,5163,1007,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-23T08:17:00,2026-03-23T10:30:00,133,343.95,Completed
JT11000116,JT11000116-1,WO700100,AP9000116,5151,1007,CSP2,PCFENCE,N,Y,Scaffolding required,N,N,1,2026-03-23T07:54:00,2026-03-23T09:19:00,85,156.41,Completed
JT11000117,JT11000117-1,WO700100,AP9000117,5151,1007,CSP2,PCFENCE,N,N,,Y,Y,2,2026-03-25T08:03:00,2026-03-25T09:42:00,99,156.41,Completed
JT11000118,JT11000118-1,WO700101,AP9000118,5157,1009,CSP2,PCBRICK,N,N,,Y,N,1,2026-03-23T11:51:00,2026-03-23T13:30:00,99,393.36,Completed
JT11000119,JT11000119-1,WO700102,AP9000119,5114,1006,CSP2,PCTILE,N,N,,Y,N,1,2026-03-23T12:13:00,2026-03-23T13:26:00,73,180.72,Completed
JT11000120,JT11000120-1,WO700103,AP9000120,5143,1006,CSP2,PCELEC,N,N,,Y,N,1,2026-03-23T11:57:00,2026-03-23T13:01:00,64,231.43,Completed
JT11000121,JT11000121-1,WO700104,AP9000121,5184,1008,CSP2,PCELEC,N,N,,Y,N,1,2026-03-23T08:10:00,2026-03-23T09:36:00,86,320.81,Completed
JT11000122,JT11000122-1,WO700105,AP9000122,5112,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-23T08:10:00,2026-03-23T09:20:00,70,150.73,Completed
JT11000123,JT11000123-1,WO700106,AP9000123,5123,1007,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:12:00,2026-03-23T09:31:00,79,306.15,Completed
JT11000124,JT11000124-1,WO700107,AP9000124,5138,1006,CSP2,PCPLUMB,N,N,,Y,N,1,2026-03-23T08:01:00,2026-03-23T09:11:00,70,223.04,Completed
JT11000125,JT11000125-1,WO700108,AP9000125,5183,1009,CSP2,PCGROUND,N,Y,Works not required,N,N,1,2026-03-23T12:08:00,2026-03-23T13:07:00,59,171.62,Completed
JT11000126,JT11000126-1,WO700108,AP9000126,5183,1009,CSP2,PCGROUND,N,N,,Y,Y,2,2026-03-25T12:09:00,2026-03-25T13:05:00,56,171.62,Completed
JT11000127,JT11000127-1,WO700109,AP9000127,5115,1009,CSP2,PCFENCE,N,N,,Y,N,1,2026-03-23T08:11:00,2026-03-23T09:30:00,79,271.68,Completed
JT11000128,JT11000128-1,WO700110,AP9000128,5138,1007,CSP2,PCTILE,N,N,,Y,N,1,2026-03-23T07:58:00,2026-03-23T08:50:00,52,129.32,Completed
JT11000129,JT11000129-1,WO700111,AP9000129,5286,1011,CSP4,PCCARP,N,N,,Y,N,1,2026-03-23T08:16:00,2026-03-23T09:41:00,85,178.51,Completed
JT11000130,JT11000130-1,WO700112,AP9000130,5258,1011,CSP4,PCBRICK,N,N,,Y,N,1,2026-03-23T07:51:00,2026-03-23T08:40:00,49,326.02,Completed
JT11000131,JT11000131-1,WO700113,AP9000131,5208,1011,CSP4,PCCARP,N,N,,Y,N,1,2026-03-23T07:56:00,2026-03-23T10:05:00,129,178.91,Completed
JT11000132,JT11000132-1,WO700114,AP9000132,5240,1012,CSP4,PCCARP,Y,N,,N,N,1,2026-03-23T08:04:00,2026-03-23T09:28:00,84,82.48,No Access
JT11000133,JT11000133-1,WO700114,AP9000133,5240,1012,CSP4,PCCARP,N,N,,Y,Y,2,2026-03-25T11:58:00,2026-03-25T13:13:00,75,82.48,Completed
JT11000134,JT11000134-1,WO700115,AP9000134,5220,1011,CSP4,PCELEC,N,N,,Y,N,1,2026-03-23T07:50:00,2026-03-23T08:54:00,64,161.30,Completed
JT11000135,JT11000135-1,WO700116,AP9000135,5286,1013,CSP4,PCTILE,N,N,,Y,N,1,2026-03-23T11:53:00,2026-03-23T13:11:00,78,151.48,Completed
JT11000136,JT11000136-1,WO700117,AP9000136,5291,1013,CSP4,PCFENCE,N,N,,Y,N,1,2026-03-23T07:51:00,2026-03-23T09:10:00,79,184.22,Completed
JT11000137,JT11000137-1,WO700118,AP9000137,5269,1012,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-23T07:51:00,2026-03-23T08:56:00,65,216.29,Completed
JT11000138,JT11000138-1,WO700121,AP9000138,5245,1012,CSP4,PCCARP,N,N,,Y,N,1,2026-03-23T11:52:00,2026-03-23T13:13:00,81,176.81,Completed
JT11000139,JT11000139-1,WO700122,AP9000139,5224,1013,CSP4,PCPLAST,N,Y,Planned referral required,N,N,1,2026-03-23T12:06:00,2026-03-23T13:04:00,58,96.06,Completed
JT11000140,JT11000140-1,WO700122,AP9000140,5224,1013,CSP4,PCPLAST,N,N,,Y,Y,2,2026-03-25T11:55:00,2026-03-25T13:10:00,75,96.06,Completed
JT11000141,JT11000141-1,WO700123,AP9000141,5258,1012,CSP4,PCVINYL,N,N,,Y,N,1,2026-03-23T07:50:00,2026-03-23T08:50:00,60,205.00,Completed
JT11000142,JT11000142-1,WO700125,AP9000142,5203,1013,CSP4,PCBRICK,N,N,,Y,N,1,2026-03-23T12:03:00,2026-03-23T13:11:00,68,298.62,Completed
JT11000143,JT11000143-1,WO700126,AP9000143,5245,1013,CSP4,PCPLAST,N,N,,Y,N,1,2026-03-23T11:50:00,2026-03-23T13:14:00,84,210.63,Completed
JT11000144,JT11000144-1,WO700127,AP9000144,5203,1012,CSP4,PCTILE,N,N,,Y,N,1,2026-03-23T08:02:00,2026-03-23T09:47:00,105,174.20,Completed
JT11000145,JT11000145-1,WO700128,AP9000145,5232,1014,CSP4,PCPLUMB,N,N,,Y,N,1,2026-03-23T12:16:00,2026-03-23T13:07:00,51,165.29,Completed
JT11000146,JT11000146-1,WO700129,AP9000146,5238,1011,CSP4,PCTILE,Y,N,,N,N,1,2026-03-23T12:08:00,2026-03-23T13:32:00,84,68.41,No Access
JT11000147,JT11000147-1,WO700129,AP9000147,5238,1011,CSP4,PCTILE,N,N,,Y,Y,2,2026-03-25T08:06:00,2026-03-25T09:21:00,75,68.41,Completed
JT11000148,JT11000148-1,WO700131,AP9000148,5276,1011,CSP4,PCPLAST,Y,N,,N,N,1,2026-03-23T07:51:00,2026-03-23T09:19:00,88,104.80,No Access
JT11000149,JT11000149-1,WO700131,AP9000149,5276,1011,CSP4,PCPLAST,N,N,,Y,Y,2,2026-03-25T12:02:00,2026-03-25T13:07:00,65,104.80,Completed
