WorksOrderReference,ServiceRequestNo,PropertiesSK,ContractorSiteCode,JobPriorityCode,JobSORCode,JobType,NumberOfJobs,EstimatedCost,RepairNet,RepairVAT,RepairGross,InvoicedCost,InvoicedLabourCosts,InvoicedMaterialCosts,InvoicedSubcontractorCosts,InvoicedOverheadCosts,LabourHours,ServiceRequestReportedDatetime,WorksOrderRaisedDatetime,WorksOrderTargetDatetime,WorksOrderReportedCompleteDatetime,WorksOrderStatusCode,SLAStatus
WO700029,SR700029,5192,KPIF,Q,PCCARP,Responsive,1,84.07,88.27,17.65,105.92,86.50,47.58,30.27,0.00,8.65,1.40,2026-03-20T10:36:00,2026-03-20T10:36:00,2026-04-17T10:36:00,2026-04-01T16:36:00,Completed,Met
WO700030,SR700030,5179,BRADLEY,Q,PCPLAST,Responsive,1,217.75,228.64,45.73,274.37,224.07,22.41,33.61,145.65,22.41,3.63,2026-03-20T11:48:00,2026-03-20T11:48:00,2026-04-17T11:48:00,2026-04-01T23:48:00,Completed,Met
WO700031,SR700031,5181,KPIF,E,PCFENCE,Responsive,1,305.11,320.37,64.07,384.44,313.96,172.68,109.89,0.00,31.40,5.09,2026-03-20T14:17:00,2026-03-20T14:17:00,2026-03-21T14:17:00,2026-03-21T01:17:00,Completed,Met
WO700032,SR700032,5178,IHREPAIRS,UEL,PCPLAST,Responsive,1,184.50,193.72,38.74,232.46,189.85,104.42,66.45,0.00,18.98,3.08,2026-03-20T09:42:00,2026-03-20T09:42:00,2026-03-21T09:42:00,2026-03-21T02:42:00,Completed,Met
WO700033,SR700033,5185,CCSS,U1,PCVINYL,Responsive,1,255.84,268.63,53.73,322.36,263.26,26.33,39.49,171.12,26.33,4.26,2026-03-20T09:13:00,2026-03-20T09:13:00,2026-03-22T09:13:00,2026-03-21T10:13:00,Completed,Met
WO700034,SR700034,5117,CCSS,U1,PCGROUND,Responsive,1,463.45,486.62,97.32,583.94,476.89,47.69,71.53,309.98,47.69,7.72,2026-03-20T12:50:00,2026-03-20T12:50:00,2026-03-22T12:50:00,2026-03-21T10:50:00,Completed,Met
WO700035,SR700035,5128,IHREPAIRS,QEL,PCFENCE,Responsive,1,280.00,294.00,58.80,352.80,288.12,158.47,100.84,0.00,28.81,4.67,2026-03-20T10:25:00,2026-03-20T10:25:00,2026-04-03T10:25:00,2026-03-30T10:25:00,Completed,Met
WO700036,SR700036,5113,OPENVIEW,QEL,PCGROUND,Responsive,1,425.71,447.00,89.40,536.40,438.06,43.81,65.71,284.74,43.81,7.10,2026-03-20T12:59:00,2026-03-20T12:59:00,2026-04-03T12:59:00,2026-03-31T08:59:00,Completed,Met
WO700037,SR700037,5117,KPIF,U1,PCVINYL,Responsive,1,148.57,156.00,31.20,187.20,152.88,84.08,53.51,0.00,15.29,2.48,2026-03-20T14:24:00,2026-03-20T14:24:00,2026-03-22T14:24:00,2026-03-21T21:24:00,Completed,Met
WO700038,SR700038,5157,CCSS,Q,PCPLUMB,Responsive,1,228.73,240.17,48.03,288.20,235.37,23.54,35.31,152.99,23.54,3.81,2026-03-20T10:31:00,2026-03-20T10:31:00,2026-04-17T10:31:00,2026-04-13T18:31:00,Completed,Met
WO700039,SR700039,5158,KPIF,Q,PCTILE,Responsive,1,149.27,156.73,31.35,188.08,153.60,84.48,53.76,0.00,15.36,2.49,2026-03-20T12:30:00,2026-03-20T12:30:00,2026-04-17T12:30:00,2026-04-09T07:30:00,Completed,Met
WO700040,SR700040,5174,KPIF,Q,PCELEC,Responsive,1,259.11,272.07,54.41,326.48,266.63,146.65,93.32,0.00,26.66,4.32,2026-03-20T11:45:00,2026-03-20T11:45:00,2026-04-17T11:45:00,2026-03-31T10:45:00,Completed,Met
WO700041,SR700041,5126,KPIF,QEL,PCPLAST,Responsive,1,167.45,175.82,35.16,210.98,172.30,94.77,60.30,0.00,17.23,2.79,2026-03-20T12:36:00,2026-03-20T12:36:00,2026-04-03T12:36:00,2026-03-31T09:36:00,Completed,Met
WO700042,SR700042,5167,CCSS,UEL,PCCARP,Responsive,1,192.17,201.78,40.36,242.14,197.74,19.77,29.66,128.53,19.77,3.20,2026-03-20T10:49:00,2026-03-20T10:49:00,2026-03-21T10:49:00,2026-03-20T18:49:00,Completed,Met
WO700043,SR700043,5112,BRADLEY,QEL,PCTILE,Responsive,1,174.75,183.49,36.70,220.19,179.82,17.98,26.97,116.88,17.98,2.91,2026-03-20T08:43:00,2026-03-20T08:43:00,2026-04-03T08:43:00,2026-03-26T07:43:00,Completed,Met
WO700044,SR700044,5150,KPIF,Q,PCCARP,Responsive,1,140.23,147.24,29.45,176.69,144.30,79.37,50.51,0.00,14.43,2.34,2026-03-20T09:20:00,2026-03-20T09:20:00,2026-04-17T09:20:00,2026-04-10T11:20:00,Completed,Met
WO700045,SR700045,5218,OPENVIEW,UEL,PCPLUMB,Responsive,1,176.40,185.22,37.04,222.26,181.52,18.15,27.23,117.99,18.15,2.94,2026-03-20T14:26:00,2026-03-20T14:26:00,2026-03-21T14:26:00,2026-03-21T08:26:00,Completed,Met
WO700046,SR700046,5279,KPIF,QEL,PCPLUMB,Responsive,1,193.08,202.73,40.55,243.28,198.68,109.27,69.54,0.00,19.87,3.22,2026-03-20T10:20:00,2026-03-20T10:20:00,2026-04-03T10:20:00,2026-03-30T14:20:00,Completed,Met
WO700047,SR700047,5268,KPIF,U1,PCVINYL,Responsive,1,240.25,252.26,50.45,302.71,247.21,135.97,86.52,0.00,24.72,4.00,2026-03-20T11:04:00,2026-03-20T11:04:00,2026-03-22T11:04:00,2026-03-21T20:04:00,Completed,Met
WO700048,SR700048,5280,OPENVIEW,E,PCELEC,Responsive,1,255.13,267.89,53.58,321.47,262.53,26.25,39.38,170.64,26.25,4.25,2026-03-20T12:45:00,2026-03-20T12:45:00,2026-03-21T12:45:00,2026-03-21T01:45:00,Completed,Met
WO700049,SR700049,5231,KPIF,UEL,PCPLAST,Responsive,1,237.31,249.18,49.84,299.02,244.20,134.31,85.47,0.00,24.42,3.96,2026-03-20T11:30:00,2026-03-20T11:30:00,2026-03-21T11:30:00,2026-03-21T01:30:00,Completed,Met
WO700050,SR700050,5211,KPIF,NG,PCGROUND,Responsive,1,374.54,393.27,78.65,471.92,385.40,211.97,134.89,0.00,38.54,6.24,2026-03-20T12:59:00,2026-03-20T12:59:00,2026-04-03T12:59:00,2026-03-24T04:59:00,Completed,Met
WO700051,SR700051,5203,KPIF,QEL,PCVINYL,Responsive,1,216.40,227.22,45.44,272.66,222.68,122.47,77.94,0.00,22.27,3.61,2026-03-20T11:48:00,2026-03-20T11:48:00,2026-04-03T11:48:00,,Open,Open
WO700052,SR700052,5209,IHREPAIRS,UEL,PCFENCE,Responsive,1,198.59,208.52,41.70,250.22,204.35,112.39,71.52,0.00,20.43,3.31,2026-03-20T09:23:00,2026-03-20T09:23:00,2026-03-21T09:23:00,2026-03-21T00:23:00,Completed,Met
WO700053,SR700053,5206,OPENVIEW,Q,PCFENCE,Responsive,1,212.99,223.64,44.73,268.37,219.17,21.92,32.88,142.46,21.92,3.55,2026-03-20T09:59:00,2026-03-20T09:59:00,2026-04-17T09:59:00,2026-04-10T07:59:00,Completed,Met
WO700054,SR700054,5262,KPIF,QEL,PCPLAST,Responsive,1,205.56,215.84,43.17,259.01,211.52,116.34,74.03,0.00,21.15,3.43,2026-03-20T12:24:00,2026-03-20T12:24:00,2026-04-03T12:24:00,2026-03-30T17:24:00,Completed,Met
WO700055,SR700055,5206,IHREPAIRS,QEL,PCFENCE,Responsive,1,282.29,296.40,59.28,355.68,290.47,159.76,101.66,0.00,29.05,4.70,2026-03-20T13:08:00,2026-03-20T13:08:00,2026-04-03T13:08:00,2026-03-28T04:08:00,Completed,Met
WO700056,SR700056,5237,KPIF,QEL,PCFENCE,Responsive,1,302.62,317.75,63.55,381.30,311.39,171.26,108.99,0.00,31.14,5.04,2026-03-20T14:05:00,2026-03-20T14:05:00,2026-04-03T14:05:00,2026-03-28T06:05:00,Completed,Met
WO700057,SR700057,5252,KPIF,QEL,PCELEC,Responsive,1,261.31,274.38,54.88,329.26,268.89,147.89,94.11,0.00,26.89,4.36,2026-03-20T10:05:00,2026-03-20T10:05:00,2026-04-03T10:05:00,2026-03-25T12:05:00,Completed,Met
WO700058,SR700058,5267,CCSS,QEL,PCBRICK,Responsive,1,399.33,419.30,83.86,503.16,410.91,41.09,61.64,267.09,41.09,6.66,2026-03-20T09:10:00,2026-03-20T09:10:00,2026-04-03T09:10:00,2026-03-20T11:10:00,Completed,Met
WO700059,SR700059,5238,KPIF,U1,PCFENCE,Responsive,1,344.20,361.41,72.28,433.69,354.18,194.80,123.96,0.00,35.42,5.74,2026-03-20T11:01:00,2026-03-20T11:01:00,2026-03-22T11:01:00,2026-03-21T11:01:00,Completed,Met
WO700060,SR700060,5289,KPIF,Q,PCELEC,Responsive,1,226.97,238.32,47.66,285.98,233.55,128.45,81.74,0.00,23.35,3.78,2026-03-20T11:30:00,2026-03-20T11:30:00,2026-04-17T11:30:00,2026-04-01T18:30:00,Completed,Met
WO700061,SR700061,5208,KPIF,Q,PCCARP,Responsive,1,133.63,140.31,28.06,168.37,137.50,75.62,48.12,0.00,13.75,2.23,2026-03-20T12:52:00,2026-03-20T12:52:00,2026-04-17T12:52:00,2026-04-08T23:52:00,Completed,Met
WO700062,SR700062,5219,KPIF,E,PCELEC,Responsive,1,294.24,308.95,61.79,370.74,302.77,166.52,105.97,0.00,30.28,4.90,2026-03-20T14:00:00,2026-03-20T14:00:00,2026-03-21T14:00:00,2026-03-21T01:00:00,Completed,Met
WO700063,SR700063,5278,PHJONESGAS,Q,PCPLAST,Responsive,1,204.97,215.22,43.04,258.26,210.92,21.09,31.64,137.10,21.09,3.42,2026-03-20T11:40:00,2026-03-20T11:40:00,2026-04-17T11:40:00,2026-04-04T03:40:00,Completed,Met
WO700064,SR700064,5247,KPIF,UEL,PCVINYL,Responsive,1,224.12,235.33,47.07,282.40,230.62,126.84,80.72,0.00,23.06,3.74,2026-03-20T09:28:00,2026-03-20T09:28:00,2026-03-21T09:28:00,2026-03-21T02:28:00,Completed,Met
WO700065,SR700065,5272,KPIF,UEL,PCCARP,Responsive,1,223.48,234.65,46.93,281.58,229.96,126.48,80.49,0.00,23.00,3.72,2026-03-20T12:18:00,2026-03-20T12:18:00,2026-03-21T12:18:00,2026-03-21T03:18:00,Completed,Met
WO700066,SR700066,5263,OPENVIEW,U1,PCTILE,Responsive,1,200.26,210.27,42.05,252.32,206.06,20.61,30.91,133.94,20.61,3.34,2026-03-20T12:21:00,2026-03-20T12:21:00,2026-03-22T12:21:00,2026-03-21T23:21:00,Completed,Met
WO700067,SR700067,5088,CCSS,Q,PCFENCE,Responsive,1,252.19,264.80,52.96,317.76,259.50,25.95,38.92,168.68,25.95,4.20,2026-03-23T13:11:00,2026-03-23T13:11:00,2026-04-20T13:11:00,2026-03-28T22:11:00,Completed,Met
WO700068,SR700068,5092,IHREPAIRS,QEL,PCPLAST,Responsive,1,194.05,203.75,40.75,244.50,199.67,109.82,69.88,0.00,19.97,3.23,2026-03-23T09:32:00,2026-03-23T09:32:00,2026-04-06T09:32:00,2026-04-05T17:32:00,Completed,Met
WO700069,SR700069,5064,IHREPAIRS,Q,PCPLUMB,Responsive,1,188.36,197.78,39.56,237.34,193.82,106.60,67.84,0.00,19.38,3.14,2026-03-23T12:29:00,2026-03-23T12:29:00,2026-04-20T12:29:00,2026-04-11T15:29:00,Completed,Met
WO700070,SR700070,5012,PHJONESGAS,UEL,PCCARP,Responsive,1,171.08,179.63,35.93,215.56,176.04,17.60,26.41,114.43,17.60,2.85,2026-03-23T12:35:00,2026-03-23T12:35:00,2026-03-24T12:35:00,2026-03-23T18:35:00,Completed,Met
WO700071,SR700071,5010,IHREPAIRS,NG,PCPLAST,Responsive,1,209.26,219.72,43.94,263.66,215.33,118.43,75.37,0.00,21.53,3.49,2026-03-23T12:20:00,2026-03-23T12:20:00,2026-04-06T12:20:00,2026-03-28T14:20:00,Completed,Met
WO700072,SR700072,5100,KPIF,Q,PCGROUND,Responsive,1,476.65,500.48,100.10,600.58,490.47,269.76,171.66,0.00,49.05,7.94,2026-03-23T09:36:00,2026-03-23T09:36:00,2026-04-20T09:36:00,,Open,Open
WO700073,SR700073,5016,KPIF,U1,PCGROUND,Responsive,1,388.97,408.42,81.68,490.10,400.25,220.14,140.09,0.00,40.02,6.48,2026-03-23T11:15:00,2026-03-23T11:15:00,2026-03-25T11:15:00,2026-03-24T22:15:00,Completed,Met
WO700074,SR700074,5067,KPIF,QEL,PCBRICK,Responsive,1,307.50,322.88,64.58,387.46,316.42,174.03,110.75,0.00,31.64,5.12,2026-03-23T13:55:00,2026-03-23T13:55:00,2026-04-06T13:55:00,2026-04-03T02:55:00,Completed,Met
WO700075,SR700075,5079,IHREPAIRS,U1,PCGROUND,Responsive,1,394.68,414.41,82.88,497.29,406.12,223.37,142.14,0.00,40.61,6.58,2026-03-23T13:33:00,2026-03-23T13:33:00,2026-03-25T13:33:00,2026-03-24T22:33:00,Completed,Met
WO700076,SR700076,5093,IHREPAIRS,QEL,PCFENCE,Responsive,1,339.97,356.97,71.39,428.36,349.83,192.41,122.44,0.00,34.98,5.67,2026-03-23T08:44:00,2026-03-23T08:44:00,2026-04-06T08:44:00,2026-04-06T16:44:00,Completed,Breached
WO700077,SR700077,5034,KPIF,QEL,PCTILE,Responsive,1,171.42,179.99,36.00,215.99,176.39,97.01,61.74,0.00,17.64,2.86,2026-03-23T13:57:00,2026-03-23T13:57:00,2026-04-06T13:57:00,2026-04-06T16:57:00,Completed,Breached
WO700078,SR700078,5083,OPENVIEW,Q,PCBRICK,Responsive,1,355.23,372.99,74.60,447.59,365.53,36.55,54.83,237.59,36.55,5.92,2026-03-23T14:20:00,2026-03-23T14:20:00,2026-04-20T14:20:00,2026-04-04T06:20:00,Completed,Met
WO700079,SR700079,5021,KPIF,Q,PCELEC,Responsive,1,234.83,246.57,49.31,295.88,241.64,132.90,84.57,0.00,24.16,3.91,2026-03-23T11:24:00,2026-03-23T11:24:00,2026-04-20T11:24:00,2026-04-05T11:24:00,Completed,Met
WO700080,SR700080,5094,KPIF,NG,PCFENCE,Responsive,1,277.76,291.65,58.33,349.98,285.82,157.20,100.04,0.00,28.58,4.63,2026-03-23T11:39:00,2026-03-23T11:39:00,2026-04-06T11:39:00,2026-03-30T12:39:00,Completed,Met
WO700081,SR700081,5016,KPIF,Q,PCBRICK,Responsive,1,374.91,393.66,78.73,472.39,385.79,212.18,135.03,0.00,38.58,6.25,2026-03-23T08:55:00,2026-03-23T08:55:00,2026-04-20T08:55:00,2026-04-07T18:55:00,Completed,Met
WO700082,SR700082,5032,PHJONESGAS,QEL,PCPLAST,Responsive,1,219.71,230.70,46.14,276.84,226.09,22.61,33.91,146.96,22.61,3.66,2026-03-23T11:10:00,2026-03-23T11:10:00,2026-04-06T11:10:00,2026-04-01T11:10:00,Completed,Met
WO700083,SR700083,5060,IHREPAIRS,QEL,PCELEC,Responsive,1,241.26,253.32,50.66,303.98,248.25,136.54,86.89,0.00,24.82,4.02,2026-03-23T09:16:00,2026-03-23T09:16:00,2026-04-06T09:16:00,2026-04-03T21:16:00,Completed,Met
WO700084,SR700084,5028,KPIF,E,PCFENCE,Responsive,1,230.51,242.04,48.41,290.45,237.20,130.46,83.02,0.00,23.72,3.84,2026-03-23T13:35:00,2026-03-23T13:35:00,2026-03-24T13:35:00,2026-03-24T08:35:00,Completed,Met
WO700085,SR700085,5069,KPIF,QEL,PCPLUMB,Responsive,1,167.33,175.70,35.14,210.84,172.19,94.70,60.27,0.00,17.22,2.79,2026-03-23T10:45:00,2026-03-23T10:45:00,2026-04-06T10:45:00,2026-03-31T03:45:00,Completed,Met
WO700086,SR700086,5052,KPIF,Q,PCPLUMB,Responsive,1,281.44,295.51,59.10,354.61,289.60,159.28,101.36,0.00,28.96,4.69,2026-03-23T13:13:00,2026-03-23T13:13:00,2026-04-20T13:13:00,2026-04-08T00:13:00,Completed,Met
WO700087,SR700087,5071,IHREPAIRS,QEL,PCBRICK,Responsive,1,426.29,447.60,89.52,537.12,438.65,241.26,153.53,0.00,43.86,7.10,2026-03-23T13:42:00,2026-03-23T13:42:00,2026-04-06T13:42:00,2026-04-06T12:42:00,Completed,Met
WO700088,SR700088,5044,CCSS,QEL,PCGROUND,Responsive,1,365.12,383.38,76.68,460.06,375.71,37.57,56.36,244.21,37.57,6.09,2026-03-23T10:11:00,2026-03-23T10:11:00,2026-04-06T10:11:00,,Open,Open
WO700089,SR700089,5105,OPENVIEW,Q,PCPLAST,Responsive,1,213.12,223.78,44.76,268.54,219.30,21.93,32.90,142.55,21.93,3.55,2026-03-23T12:55:00,2026-03-23T12:55:00,2026-04-20T12:55:00,2026-04-01T22:55:00,Completed,Met
WO700090,SR700090,5142,PHJONESGAS,U1,PCFENCE,Responsive,1,246.69,259.02,51.80,310.82,253.84,25.38,38.08,165.00,25.38,4.11,2026-03-23T11:03:00,2026-03-23T11:03:00,2026-03-25T11:03:00,2026-03-24T06:03:00,Completed,Met
WO700091,SR700091,5163,KPIF,Q,PCBRICK,Responsive,1,177.09,185.94,37.19,223.13,182.22,100.22,63.78,0.00,18.22,2.95,2026-03-23T11:19:00,2026-03-23T11:19:00,2026-04-20T11:19:00,2026-04-02T01:19:00,Completed,Met
WO700092,SR700092,5193,KPIF,Q,PCPLUMB,Responsive,1,166.85,175.19,35.04,210.23,171.69,94.43,60.09,0.00,17.17,2.78,2026-03-23T14:05:00,2026-03-23T14:05:00,2026-04-20T14:05:00,2026-04-11T08:05:00,Completed,Met
WO700093,SR700093,5193,KPIF,Q,PCPLUMB,Responsive,1,166.65,174.98,35.00,209.98,171.48,94.31,60.02,0.00,17.15,2.78,2026-03-23T13:52:00,2026-03-23T13:52:00,2026-04-20T13:52:00,2026-04-07T14:52:00,Completed,Met
WO700094,SR700094,5188,PHJONESGAS,E,PCTILE,Responsive,1,188.94,198.39,39.68,238.07,194.42,19.44,29.16,126.37,19.44,3.15,2026-03-23T09:26:00,2026-03-23T09:26:00,2026-03-24T09:26:00,2026-03-24T01:26:00,Completed,Met
WO700095,SR700095,5153,CCSS,Q,PCTILE,Responsive,1,126.32,132.64,26.53,159.17,129.99,13.00,19.50,84.49,13.00,2.11,2026-03-23T12:31:00,2026-03-23T12:31:00,2026-04-20T12:31:00,,Open,Open
WO700096,SR700096,5118,KPIF,UEL,PCGROUND,Responsive,1,419.72,440.71,88.14,528.85,431.90,237.55,151.16,0.00,43.19,7.00,2026-03-23T14:09:00,2026-03-23T14:09:00,2026-03-24T14:09:00,2026-03-23T23:09:00,Completed,Met
WO700097,SR700097,5159,KPIF,UEL,PCGROUND,Responsive,1,321.09,337.14,67.43,404.57,330.40,181.72,115.64,0.00,33.04,5.35,2026-03-23T14:18:00,2026-03-23T14:18:00,2026-03-24T14:18:00,2026-03-23T23:18:00,Completed,Met
WO700098,SR700098,5125,KPIF,UEL,PCTILE,Responsive,1,115.40,121.17,24.23,145.40,118.75,65.31,41.56,0.00,11.87,1.92,2026-03-23T11:02:00,2026-03-23T11:02:00,2026-03-24T11:02:00,2026-03-24T02:02:00,Completed,Met
WO700099,SR700099,5163,IHREPAIRS,Q,PCFENCE,Responsive,1,343.95,361.15,72.23,433.38,353.93,194.66,123.88,0.00,35.39,5.73,2026-03-23T10:50:00,2026-03-23T10:50:00,2026-04-20T10:50:00,2026-04-07T11:50:00,Completed,Met
WO700100,SR700100,5151,OPENVIEW,QEL,PCFENCE,Responsive,1,312.83,328.47,65.69,394.16,321.90,32.19,48.28,209.23,32.19,5.21,2026-03-23T10:58:00,2026-03-23T10:58:00,2026-04-06T10:58:00,2026-04-07T13:58:00,Completed,Breached
