AppointmentReference,WorksOrderReference,PropertiesSK,EmployeesSK,PatchCode,AppointmentSlot,ScheduledAppointmentStart,ScheduledAppointmentEnd,AttendanceStartDateTime,AppointmentAttendedWithinSlot,AppointmentStatus,AppointmentSequence,StandardMinuteValue
AP9000031,WO700027,5112,1008,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:56:00,N,Completed,1,97
AP9000032,WO700028,5142,1007,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:10:00,Y,Completed,1,75
AP9000033,WO700029,5192,1007,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T07:53:00,N,Completed,1,70
AP9000034,WO700030,5179,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:08:00,Y,Completed,1,94
AP9000035,WO700031,5181,1009,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:05:00,Y,Completed,1,112
AP9000036,WO700032,5178,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:18:00,Y,Completed,1,66
AP9000037,WO700032,5178,1009,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:13:00,Y,Completed,2,109
AP9000038,WO700033,5185,1006,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:01:00,Y,Completed,1,63
AP9000039,WO700034,5117,1007,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:59:00,N,No Access,1,91
AP9000040,WO700034,5117,1007,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:56:00,N,Completed,2,136
AP9000041,WO700035,5128,1007,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:07:00,Y,No Access,1,79
AP9000042,WO700035,5128,1007,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:56:00,N,Completed,2,63
AP9000043,WO700036,5113,1007,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:09:00,Y,No Access,1,104
AP9000044,WO700036,5113,1007,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:10:00,Y,Completed,2,112
AP9000045,WO700037,5117,1006,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:02:00,Y,Completed,1,71
AP9000046,WO700038,5157,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:05:00,Y,Completed,1,23
AP9000047,WO700039,5158,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:50:00,N,Completed,1,33
AP9000048,WO700040,5174,1006,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:04:00,Y,Completed,1,66
AP9000049,WO700041,5126,1007,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:05:00,Y,Completed,1,56
AP9000050,WO700042,5167,1008,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:54:00,N,Completed,1,79
AP9000051,WO700042,5167,1008,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:17:00,Y,Completed,2,69
AP9000052,WO700043,5112,1006,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:16:00,Y,Completed,1,72
AP9000053,WO700044,5150,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:18:00,Y,Completed,1,64
AP9000054,WO700045,5218,1011,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:17:00,Y,Completed,1,59
AP9000055,WO700046,5279,1014,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:10:00,Y,Completed,1,66
AP9000056,WO700047,5268,1012,CSP4,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:15:00,Y,Completed,1,76
AP9000057,WO700048,5280,1012,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:10:00,Y,Completed,1,61
AP9000058,WO700049,5231,1011,CSP4,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:55:00,N,No Access,1,67
AP9000059,WO700049,5231,1011,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:54:00,N,Completed,2,46
AP9000060,WO700050,5211,1014,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:20:00,Y,Completed,1,60
AP9000061,WO700052,5209,1014,CSP4,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:11:00,Y,Completed,1,81
AP9000062,WO700053,5206,1012,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:18:00,Y,Completed,1,67
AP9000063,WO700054,5262,1013,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:20:00,Y,Completed,1,76
AP9000064,WO700055,5206,1012,CSP4,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:07:00,Y,Completed,1,107
AP9000065,WO700055,5206,1012,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:03:00,Y,Completed,2,103
AP9000066,WO700056,5237,1014,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:55:00,N,Completed,1,102
AP9000067,WO700057,5252,1013,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:20:00,Y,No Access,1,97
AP9000068,WO700057,5252,1013,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:08:00,Y,Completed,2,77
AP9000069,WO700058,5267,1014,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:12:00,Y,No Access,1,72
AP9000070,WO700058,5267,1014,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:09:00,Y,Completed,2,59
AP9000071,WO700059,5238,1014,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:55:00,N,No Access,1,50
AP9000072,WO700059,5238,1014,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:51:00,N,Completed,2,63
AP9000073,WO700060,5289,1014,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:19:00,Y,Completed,1,62
AP9000074,WO700061,5208,1013,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:08:00,Y,Completed,1,75
AP9000075,WO700062,5219,1012,CSP4,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:54:00,N,Completed,1,90
AP9000076,WO700062,5219,1012,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:54:00,N,Completed,2,36
AP9000077,WO700063,5278,1014,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:15:00,Y,No Access,1,73
AP9000078,WO700063,5278,1014,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:55:00,N,Completed,2,66
AP9000079,WO700064,5247,1011,CSP4,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:14:00,Y,Completed,1,42
AP9000080,WO700065,5272,1014,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:06:00,Y,Completed,1,63
AP9000081,WO700065,5272,1014,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:04:00,Y,Completed,2,64
AP9000082,WO700066,5263,1013,CSP4,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:06:00,Y,Completed,1,88
AP9000083,WO700067,5088,1002,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:07:00,Y,Completed,1,68
AP9000084,WO700068,5092,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:50:00,N,No Access,1,80
AP9000085,WO700068,5092,1001,CSP1,PM,2026-03-25T12:00:00,2026-03-25T16:00:00,2026-03-25T11:59:00,N,Completed,2,77
AP9000086,WO700069,5064,1003,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:04:00,Y,Completed,1,99
AP9000087,WO700070,5012,1002,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:17:00,Y,Completed,1,67
AP9000088,WO700071,5010,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:10:00,Y,No Access,1,22
AP9000089,WO700071,5010,1001,CSP1,All Day,2026-03-25T08:00:00,2026-03-25T16:00:00,2026-03-25T07:55:00,N,Completed,2,82
AP9000090,WO700073,5016,1003,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:50:00,N,Completed,1,35
AP9000091,WO700074,5067,1002,CSP1,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:58:00,N,Completed,1,51
AP9000092,WO700075,5079,1002,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:08:00,Y,Completed,1,41
AP9000093,WO700076,5093,1004,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:56:00,N,Completed,1,63
AP9000094,WO700077,5034,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:02:00,Y,Completed,1,47
AP9000095,WO700078,5083,1002,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:54:00,N,Completed,1,85
AP9000096,WO700079,5021,1004,CSP1,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:04:00,Y,No Access,1,84
AP9000097,WO700079,5021,1004,CSP1,All Day,2026-03-25T08:00:00,2026-03-25T16:00:00,2026-03-25T07:54:00,N,Completed,2,107
AP9000098,WO700080,5094,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:53:00,N,Completed,1,86
AP9000099,WO700081,5016,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:19:00,Y,Completed,1,80
AP9000100,WO700082,5032,1004,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:13:00,Y,Completed,1,86
AP9000101,WO700083,5060,1004,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:56:00,N,Completed,1,111
AP9000102,WO700084,5028,1003,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:56:00,N,Completed,1,56
AP9000103,WO700085,5069,1003,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:07:00,Y,Completed,1,90
AP9000104,WO700086,5052,1003,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:53:00,N,Completed,1,76
AP9000105,WO700087,5071,1003,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:53:00,N,Completed,1,79
AP9000106,WO700089,5105,1009,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:06:00,Y,Completed,1,77
AP9000107,WO700090,5142,1008,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:08:00,Y,Completed,1,38
AP9000108,WO700091,5163,1008,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:54:00,N,Completed,1,20
AP9000109,WO700092,5193,1007,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:17:00,Y,Completed,1,31
AP9000110,WO700093,5193,1006,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:13:00,Y,Completed,1,123
AP9000111,WO700094,5188,1007,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:11:00,Y,Completed,1,54
AP9000112,WO700096,5118,1009,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:14:00,Y,Completed,1,65
AP9000113,WO700097,5159,1009,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:54:00,N,Completed,1,70
AP9000114,WO700098,5125,1008,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:01:00,Y,Completed,1,100
AP9000115,WO700099,5163,1007,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:17:00,Y,Completed,1,133
AP9000116,WO700100,5151,1007,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:54:00,N,Completed,1,85
AP9000117,WO700100,5151,1007,CSP2,AM,2026-03-25T08:00:00,2026-03-25T12:00:00,2026-03-25T08:03:00,Y,Completed,2,99
AP9000118,WO700101,5157,1009,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:51:00,N,Completed,1,99
AP9000119,WO700102,5114,1006,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:13:00,Y,Completed,1,73
AP9000120,WO700103,5143,1006,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:57:00,N,Completed,1,64
AP9000121,WO700104,5184,1008,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:10:00,Y,Completed,1,86
AP9000122,WO700105,5112,1007,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:10:00,Y,Completed,1,70
AP9000123,WO700106,5123,1007,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:12:00,Y,Completed,1,79
AP9000124,WO700107,5138,1006,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:01:00,Y,Completed,1,70
AP9000125,WO700108,5183,1009,CSP2,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:08:00,Y,Completed,1,59
AP9000126,WO700108,5183,1009,CSP2,PM,2026-03-25T12:00:00,2026-03-25T16:00:00,2026-03-25T12:09:00,Y,Completed,2,56
AP9000127,WO700109,5115,1009,CSP2,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:11:00,Y,Completed,1,79
AP9000128,WO700110,5138,1007,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:58:00,N,Completed,1,52
AP9000129,WO700111,5286,1011,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:16:00,Y,Completed,1,85
AP9000130,WO700112,5258,1011,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:51:00,N,Completed,1,49
AP9000131,WO700113,5208,1011,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:56:00,N,Completed,1,129
AP9000132,WO700114,5240,1012,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:04:00,Y,No Access,1,84
AP9000133,WO700114,5240,1012,CSP4,PM,2026-03-25T12:00:00,2026-03-25T16:00:00,2026-03-25T11:58:00,N,Completed,2,75
AP9000134,WO700115,5220,1011,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:50:00,N,Completed,1,64
AP9000135,WO700116,5286,1013,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:53:00,N,Completed,1,78
AP9000136,WO700117,5291,1013,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:51:00,N,Completed,1,79
AP9000137,WO700118,5269,1012,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T07:51:00,N,Completed,1,65
AP9000138,WO700121,5245,1012,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:52:00,N,Completed,1,81
AP9000139,WO700122,5224,1013,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:06:00,Y,Completed,1,58
AP9000140,WO700122,5224,1013,CSP4,PM,2026-03-25T12:00:00,2026-03-25T16:00:00,2026-03-25T11:55:00,N,Completed,2,75
AP9000141,WO700123,5258,1012,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:50:00,N,Completed,1,60
AP9000142,WO700125,5203,1013,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:03:00,Y,Completed,1,68
AP9000143,WO700126,5245,1013,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T11:50:00,N,Completed,1,84
AP9000144,WO700127,5203,1012,CSP4,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:02:00,Y,Completed,1,105
AP9000145,WO700128,5232,1014,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:16:00,Y,Completed,1,51
AP9000146,WO700129,5238,1011,CSP4,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:08:00,Y,No Access,1,84
AP9000147,WO700129,5238,1011,CSP4,AM,2026-03-25T08:00:00,2026-03-25T12:00:00,2026-03-25T08:06:00,Y,Completed,2,75
AP9000148,WO700131,5276,1011,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:51:00,N,No Access,1,88
AP9000149,WO700131,5276,1011,CSP4,PM,2026-03-25T12:00:00,2026-03-25T16:00:00,2026-03-25T12:02:00,Y,Completed,2,65
AP9000150,WO700132,5249,1011,CSP4,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:15:00,Y,Completed,1,80
AP9000151,WO700132,5249,1011,CSP4,AM,2026-03-25T08:00:00,2026-03-25T12:00:00,2026-03-25T08:04:00,Y,Completed,2,43
AP9000152,WO700133,5031,1003,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T07:50:00,N,Completed,1,55
AP9000153,WO700134,5072,1003,CSP1,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T07:57:00,N,Completed,1,20
AP9000154,WO700135,5048,1003,CSP1,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T07:50:00,N,Completed,1,58
AP9000155,WO700136,5010,1001,CSP1,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:15:00,Y,Completed,1,84
AP9000156,WO700137,5043,1001,CSP1,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T07:59:00,N,Completed,1,91
AP9000157,WO700138,5062,1004,CSP1,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:15:00,Y,Completed,1,20
AP9000158,WO700139,5049,1001,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:04:00,Y,Completed,1,28
AP9000159,WO700140,5093,1001,CSP1,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:02:00,Y,Completed,1,41
AP9000160,WO700141,5029,1004,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T07:54:00,N,Completed,1,49
AP9000161,WO700142,5043,1003,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:05:00,Y,Completed,1,55
AP9000162,WO700143,5098,1002,CSP1,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:03:00,Y,Completed,1,77
AP9000163,WO700144,5018,1003,CSP1,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T08:08:00,Y,Completed,1,145
AP9000164,WO700146,5065,1001,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:12:00,Y,Completed,1,31
AP9000165,WO700147,5003,1003,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:18:00,Y,No Access,1,20
AP9000166,WO700147,5003,1003,CSP1,All Day,2026-03-26T08:00:00,2026-03-26T16:00:00,2026-03-26T07:54:00,N,Completed,2,106
AP9000167,WO700148,5003,1004,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:06:00,Y,Completed,1,22
AP9000168,WO700149,5025,1001,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:03:00,Y,No Access,1,88
AP9000169,WO700149,5025,1001,CSP1,AM,2026-03-26T08:00:00,2026-03-26T12:00:00,2026-03-26T08:16:00,Y,Completed,2,95
AP9000170,WO700150,5032,1003,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:17:00,Y,Completed,1,106
AP9000171,WO700151,5012,1001,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:01:00,Y,Completed,1,64
AP9000172,WO700151,5012,1001,CSP1,All Day,2026-03-26T08:00:00,2026-03-26T16:00:00,2026-03-26T08:09:00,Y,Completed,2,42
AP9000173,WO700152,5056,1004,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:18:00,Y,Completed,1,127
AP9000174,WO700153,5089,1003,CSP1,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T08:06:00,Y,Completed,1,119
AP9000175,WO700153,5089,1003,CSP1,AM,2026-03-26T08:00:00,2026-03-26T12:00:00,2026-03-26T08:07:00,Y,Completed,2,122
AP9000176,WO700154,5005,1002,CSP1,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:14:00,Y,Completed,1,51
AP9000177,WO700155,5151,1008,CSP2,All Day,2026-03-24T08:00:00,2026-03-24T16:00:00,2026-03-24T08:06:00,Y,Completed,1,73
AP9000178,WO700156,5143,1008,CSP2,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:19:00,Y,Completed,1,56
AP9000179,WO700156,5143,1008,CSP2,All Day,2026-03-26T08:00:00,2026-03-26T16:00:00,2026-03-26T07:55:00,N,Completed,2,80
AP9000180,WO700157,5107,1009,CSP2,PM,2026-03-24T12:00:00,2026-03-24T16:00:00,2026-03-24T12:00:00,Y,Completed,1,77
AP9000181,WO700158,5200,1006,CSP2,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:16:00,Y,Completed,1,87
AP9000182,WO700159,5156,1009,CSP2,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:14:00,Y,Completed,1,104
AP9000183,WO700160,5110,1006,CSP2,AM,2026-03-24T08:00:00,2026-03-24T12:00:00,2026-03-24T08:06:00,Y,Completed,1,104
